"PatronID","BIBID","YEAR"
"1007895","1341583","2019"
"1007895","1333409","2019"
"1007895","1312003","2019"
"1055647","1236634","2019"
"1055647","1070645","2019"
"1048836","1353276","2019"
"1051820","1168657","2019"
"1049494","1169619","2019"
"1049494","1163815","2019"
"1049547","1242350","2019"
"1058871","1134504","2019"
"1060460","1341521","2019"
"1058246","1033899","2019"
"1058452","1318452","2019"
"1044573","1341537","2019"
"1053924","1266682","2019"
"1053932","1266682","2019"
"1044786","1028360","2019"
"1034845","1347678","2019"
"1034845","1186349","2019"
"1060192","1183862","2019"
"1054577","1218300","2019"
"1047371","1358056","2019"
"1052880","1281892","2019"
"1042556","1352636","2019"
"1042556","1252010","2019"
"1042556","1337801","2019"
"1042556","1352466","2019"
"1042556","1310692","2019"
"1058875","1187042","2019"
"1045057","1150500","2019"
"1045057","1282390","2019"
"1042087","1067752","2019"
"1042087","1110284","2019"
"1042087","1135175","2019"
"1030384","1195289","2019"
"1030384","1195289","2019"
"1045057","1146730","2019"
"1049534","1111057","2019"
"1049534","1351235","2019"
"1046984","1171034","2019"
"1055767","1205491","2019"
"1049204","1115394","2019"
"1052089","1094397","2019"
"1052089","1295609","2019"
"1052089","1218050","2019"
"1043012","1251471","2019"
"1044603","1341486","2019"
"1044652","1120233","2019"
"1044652","1317640","2019"
"1044652","1178139","2019"
"1059651","1150103","2019"
"1059651","1310998","2019"
"1059651","1341521","2019"
"1061323","1353725","2019"
"1061323","1351747","2019"
"1058873","1014335","2019"
"1060060","1183848","2019"
"1060060","1202924","2019"
"1056487","1295247","2019"
"1056487","1347840","2019"
"1056487","1090163","2019"
"1056487","1168270","2019"
"1056487","1090293","2019"
"1042330","1166722","2019"
"1057447","1055478","2019"
"1050293","1280874","2019"
"1049311","1302747","2019"
"1049311","1282853","2019"
"1049311","1183643","2019"
"1041289","1283543","2019"
"1041289","1283543","2019"
"1041289","1283538","2019"
"1041289","1283538","2019"
"1041289","1283561","2019"
"1041289","1335040","2019"
"1050293","1341572","2019"
"1050293","1337217","2019"
"1059271","1298636","2019"
"1045255","1161418","2019"
"1045255","1240503","2019"
"1045255","1137951","2019"
"1045255","1071349","2019"
"1045255","1110071","2019"
"1045255","1256272","2019"
"1045255","1161419","2019"
"1062639","1229651","2019"
"1062613","1272035","2019"
"1054251","1203018","2019"
"1054251","1148903","2019"
"1054251","1231162","2019"
"1054251","1071775","2019"
"1052281","1122379","2019"
"1054320","1158423","2019"
"1043018","1136077","2019"
"1043018","1283031","2019"
"1043018","1115216","2019"
"1054581","1298558","2019"
"1054581","1114829","2019"
"1058875","1202604","2019"
"1058875","1324113","2019"
"1048041","1218047","2019"
"1048041","1337011","2019"
"1059230","1323848","2019"
"1043150","1207613","2019"
"1060981","1243020","2019"
"1060978","1192703","2019"
"1045575","1064121","2019"
"1045575","1097060","2019"
"1060977","1243020","2019"
"1049551","1319193","2019"
"1049551","1319195","2019"
"1054786","1249939","2019"
"1054786","1279185","2019"
"1054786","1117564","2019"
"1054786","1121385","2019"
"1049573","1279697","2019"
"1057142","1195047","2019"
"1003517","1340443","2019"
"1003517","1348833","2019"
"1003517","1355372","2019"
"1048459","1271818","2019"
"1048459","1202356","2019"
"1048459","1063873","2019"
"1052076","1203189","2019"
"1052076","1292189","2019"
"1042874","1349254","2019"
"1042874","1349252","2019"
"1042874","1238493","2019"
"1048283","1351579","2019"
"1048283","1168183","2019"
"1048283","1056743","2019"
"1048283","1066891","2019"
"1053573","1359096","2019"
"1053573","1353807","2019"
"1049491","1050458","2019"
"1058088","1266682","2019"
"1053881","1272903","2019"
"1034881","1161924","2019"
"1049329","1229772","2019"
"1049329","1282853","2019"
"1043870","1338042","2019"
"1043869","1273379","2019"
"110005","1331317","2019"
"110005","1343768","2019"
"110005","1356364","2019"
"110005","1287877","2019"
"110005","1345792","2019"
"1062077","1096530","2019"
"1062077","1192658","2019"
"1062077","1175344","2019"
"1054198","1218242","2019"
"1054198","1292433","2019"
"1054198","1159860","2019"
"1054198","1092916","2019"
"1013314","1279966","2019"
"1013314","1186767","2019"
"1013314","1280177","2019"
"1013314","1060442","2019"
"1060345","1221452","2019"
